RANK,PREVIOUS,SCHOOL,CONFERENCE,RECORD,ROAD,NEUTRAL,HOME,NON-DI
1,2,Florida,Southeastern,32-2,10-2,5- 0,17-0,0-0
2,1,Arizona,Pac-12,30-4,8-3,4- 1,18-0,0-0
3,3,Kansas,Big 12,24-9,5-6,4- 2,15-1,0-0
4,4,Wichita St.,Missouri Valley,34-0,12-0,5- 0,16-0,1-0
5,5,Villanova,Big East,28-4,10-2,3- 1,15-1,0-0
6,6,Wisconsin,Big Ten,26-7,8-3,4- 1,14-3,0-0
7,8,Iowa St.,Big 12,26-7,4-6,7- 0,15-1,0-0
8,11,Virginia,Atlantic Coast,28-6,7-4,6- 0,15-2,0-0
9,7,Duke,Atlantic Coast,26-8,4-5,5- 3,17-0,0-0
10,10,Creighton,Big East,26-7,7-4,3- 3,16-0,0-0
11,9,Michigan,Big Ten,25-8,7-4,5- 2,13-2,0-0
12,13,New Mexico,Mountain West,27-6,8-3,6- 1,13-2,0-0
13,12,VCU,Atlantic 10,26-8,6-5,5- 3,15-0,0-0
14,14,UCLA,Pac-12,26-8,5-5,5- 1,16-2,0-0
15,15,San Diego St.,Mountain West,29-4,10-2,4- 1,13-1,2-0
16,16,Syracuse,Atlantic Coast,27-5,8-2,3- 1,16-2,0-0
17,17,Kentucky,Southeastern,24-10,5-5,3- 3,16-2,0-0
18,21,Michigan St.,Big Ten,26-8,7-3,7- 1,12-4,0-0
19,18,Louisville,AAC,29-5,9-2,4- 1,16-2,0-0
20,19,Gonzaga,West Coast,28-6,7-4,5- 2,15-0,1-0
21,20,Cincinnati,AAC,27-6,7-3,2- 2,18-1,0-0
22,22,UConn,AAC,26-8,7-4,4- 1,15-3,0-0
23,23,Massachusetts,Atlantic 10,24-8,7-4,6- 2,11-2,0-0
24,24,Ohio St.,Big Ten,25-9,5-5,3- 1,17-3,0-0
25,25,North Carolina,Atlantic Coast,23-9,6-5,2- 1,15-3,0-0
26,27,Oklahoma,Big 12,23-9,5-4,4- 2,14-3,0-0
27,26,Saint Louis,Atlantic 10,26-6,11-1,1- 2,13-3,1-0
28,28,Oregon,Pac-12,23-9,5-5,3- 1,15-3,0-0
29,29,George Washington,Atlantic 10,24-8,6-5,4- 2,14-1,0-0
30,30,Baylor,Big 12,24-11,4-5,6- 2,12-4,2-0
31,31,BYU,West Coast,23-11,5-7,4- 3,13-1,1-0
32,37,Saint Joseph's,Atlantic 10,24-9,8-4,5- 1,11-4,0-0
33,32,Southern Miss.,Conference USA,27-6,10-5,3- 1,12-0,2-0
34,33,Colorado,Pac-12,23-11,5-6,2- 3,16-2,0-0
35,34,North Dakota St.,Summit,25-6,10-5,3- 0,9-1,3-0
36,35,Texas,Big 12,23-10,5-6,2- 2,16-2,0-0
37,36,Memphis,AAC,23-9,5-5,3- 1,14-3,1-0
38,38,Toledo,Mid-American,27-6,9-5,3- 1,14-0,1-0
39,39,Pittsburgh,Atlantic Coast,25-9,7-2,5- 2,13-5,0-0
40,40,Providence,Big East,23-11,6-6,4- 2,13-3,0-0
41,41,Stanford,Pac-12,21-12,6-5,3- 3,12-4,0-0
42,42,Tennessee,Southeastern,21-12,4-7,3- 2,13-3,1-0
43,43,Dayton,Atlantic 10,23-10,7-4,3- 2,13-4,0-0
44,44,Arizona St.,Pac-12,21-11,4-7,1- 3,16-1,0-0
45,45,Oklahoma St.,Big 12,21-12,3-7,5- 2,13-3,0-0
46,46,Harvard,Ivy,26-4,11-3,4- 0,10-1,1-0
47,47,Xavier,Big East,21-12,4-6,2- 4,14-2,1-0
48,48,Nebraska,Big Ten,19-12,3-8,1- 3,15-1,0-0
49,49,Missouri,Southeastern,22-11,3-7,4- 2,15-2,0-0
50,50,Minnesota,Big Ten,20-13,3-7,1- 3,15-3,1-0
51,51,Kansas St.,Big 12,20-12,2-7,3- 3,15-2,0-0
52,52,Stephen F. Austin,Southland,31-2,14-2,2- 0,11-0,4-0
53,53,SMU,AAC,23-9,6-6,2- 2,15-1,0-0
54,54,Florida St.,Atlantic Coast,19-13,6-6,4- 2,9-5,0-0
55,55,North Carolina St.,Atlantic Coast,21-13,6-6,2- 1,13-6,0-0
56,57,Iowa,Big Ten,20-12,4-6,3- 2,12-4,1-0
57,56,Belmont,OVC,24-9,9-7,3- 1,11-1,1-0
58,58,Green Bay,Horizon,24-6,9-2,2- 1,10-3,3-0
59,59,Iona,Metro Atlantic,22-10,9-7,2- 1,11-2,0-0
60,60,Manhattan,Metro Atlantic,25-7,12-4,4- 0,9-3,0-0
61,61,St. Mary's (CA),West Coast,22-11,6-5,1- 3,14-3,1-0
62,62,Louisiana Tech,Conference USA,27-7,9-4,5- 2,12-1,1-0
63,63,California,Pac-12,19-13,5-6,1- 3,13-4,0-0
64,64,Middle Tenn.,Conference USA,24-9,8-5,2- 2,12-2,2-0
65,65,Delaware,Colonial,25-9,11-7,4- 0,10-2,0-0
66,66,Western Mich.,Mid-American,23-9,6-7,4- 0,12-2,1-0
67,69,San Francisco,West Coast,21-11,7-5,1- 1,11-5,2-0
67,68,St. John's (NY),Big East,20-12,4-5,2- 2,14-5,0-0
69,67,Georgetown,Big East,17-14,2-8,3- 3,12-3,0-0
70,71,Illinois,Big Ten,19-14,5-6,4- 2,10-6,0-0
71,73,New Mexico St.,Western Athletic,26-9,8-7,4- 1,13-1,1-0
71,72,Indiana St.,Missouri Valley,23-10,8-6,3- 2,10-2,2-0
73,74,Tulsa,Conference USA,21-12,6-7,4- 2,11-3,0-0
74,75,Georgia,Southeastern,19-13,4-7,1- 4,14-2,0-0
75,76,Richmond,Atlantic 10,19-14,5-8,2- 2,12-4,0-0
76,70,Georgia St.,Sun Belt,25-8,10-6,2- 2,11-0,2-0
77,77,Arkansas,Southeastern,21-11,3-6,1- 3,17-2,0-0
78,78,Maryland,Atlantic Coast,17-15,2-8,3- 3,11-4,1-0
79,79,Clemson,Atlantic Coast,20-12,4-7,3- 2,13-3,0-0
80,80,Utah,Pac-12,21-11,2-8,1- 1,16-2,2-0
81,83,Mercer,Atlantic Sun,26-8,9-7,0- 0,14-1,3-0
82,81,Boise St.,Mountain West,21-13,5-7,4- 2,10-4,2-0
83,82,LSU,Southeastern,19-13,3-8,3- 2,13-3,0-0
84,84,Boston U.,Patriot,24-10,11-4,2- 1,11-5,0-0
85,86,Missouri St.,Missouri Valley,20-12,4-8,2- 2,13-2,1-0
86,85,Eastern Mich.,Mid-American,21-14,4-10,2- 1,12-3,3-0
87,87,Ohio,Mid-American,23-11,10-4,1- 1,11-6,1-0
88,88,West Virginia,Big 12,17-15,3-8,3- 2,11-5,0-0
89,89,St. Bonaventure,Atlantic 10,18-15,4-9,4- 2,9-4,1-0
90,98,La.-Lafayette,Sun Belt,23-11,6-9,4- 0,10-2,3-0
91,90,Cleveland St.,Horizon,21-11,9-7,0- 1,10-3,2-0
92,91,Marquette,Big East,17-15,4-8,1- 3,12-4,0-0
93,92,Akron,Mid-American,21-12,6-7,2- 3,13-2,0-0
94,93,Ole Miss,Southeastern,19-14,4-8,3- 1,12-5,0-0
95,94,Towson,Colonial,23-10,7-7,1- 2,13-1,2-0
96,95,Canisius,Metro Atlantic,21-12,9-7,3- 1,9-3,0-1
